fold,train_f1@0.5,val_f1@0.5,gap_f1@0.5,train_roc_auc,val_roc_auc,gap_roc_auc
1,0.5531914893617021,0.4210526315789474,0.13213885778275475,0.9235579514824798,0.8316498316498315,0.09190811983264824
2,0.6185567010309277,0.32,0.29855670103092774,0.9353099730458221,0.5959595959595959,0.3393503770862262
3,0.5591397849462366,0.2222222222222222,0.3369175627240144,0.9067385444743935,0.771043771043771,0.13569477343062253
4,0.54,0.4210526315789474,0.11894736842105263,0.8971428571428571,0.7929292929292929,0.1042135642135642
5,0.5161290322580646,0.380952380952381,0.13517665130568363,0.8972011784511784,0.8134328358208955,0.08376834263028288
6,0.5869565217391304,0.5,0.08695652173913038,0.9128840970350404,0.7929292929292929,0.11995480410574744
7,0.5934065934065934,0.28571428571428575,0.30769230769230765,0.9285175202156335,0.7222222222222222,0.2062952979934113
8,0.5434782608695652,0.5263157894736842,0.017162471395881007,0.9188140161725068,0.8703703703703703,0.04844364580213645
9,0.5591397849462366,0.3157894736842105,0.2433503112620261,0.9069541778975742,0.7356902356902356,0.17126394220733854
10,0.6666666666666665,0.1,0.5666666666666665,0.9243476430976431,0.6996268656716418,0.22472077742600127
11,0.6,0.380952380952381,0.219047619047619,0.9113746630727763,0.8047138047138047,0.10666085835897154
12,0.5869565217391304,0.1111111111111111,0.47584541062801927,0.9132075471698112,0.7222222222222222,0.19098532494758902
13,0.588235294117647,0.4545454545454546,0.13368983957219238,0.9184905660377359,0.803030303030303,0.11546026300743295
14,0.5567010309278351,0.39999999999999997,0.1567010309278351,0.9085714285714286,0.728956228956229,0.17961519961519956
15,0.5263157894736842,0.25,0.2763157894736842,0.9038299663299663,0.7238805970149254,0.1799493693150409
16,0.5217391304347826,0.08,0.4417391304347826,0.9171967654986524,0.5757575757575757,0.3414391897410767
17,0.5617977528089888,0.25,0.3117977528089888,0.9121293800539083,0.7239057239057239,0.18822365614818437
18,0.5894736842105264,0.39999999999999997,0.1894736842105264,0.9108355795148247,0.8535353535353536,0.05730022597947115
19,0.5977011494252874,0.10526315789473685,0.49243799153055057,0.9306738544474393,0.6481481481481481,0.2825257062992912
20,0.5523809523809524,0.4210526315789474,0.13132832080200502,0.9056186868686869,0.8619402985074627,0.043678388361224174
21,0.5686274509803921,0.46153846153846156,0.10708898944193057,0.9053369272237197,0.8333333333333333,0.07200359389038646
22,0.6352941176470589,0.19999999999999998,0.43529411764705894,0.9363881401617251,0.7356902356902357,0.20069790447148939
23,0.5647058823529412,0.380952380952381,0.18375350140056018,0.923989218328841,0.8417508417508417,0.08223837657799926
24,0.6041666666666667,0.24000000000000005,0.3641666666666667,0.9061994609164421,0.6919191919191919,0.21428026899725017
25,0.5319148936170212,0.33333333333333326,0.1985815602836879,0.9034090909090909,0.6511194029850746,0.2522896879240163
